id,title,description,link,image_link,additional_image_link,availability,price,brand,condition,google_product_category,mpn,gtin
abracadabra-coffee-cups-set-xUdyr3,Abracadabra Coffee Cups Set,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, which has designed an entire set of dishes for Bitossi Home: an authentic tribute to magic. Multi-pointed stars, pinwheels and optical effects alternating with softer graphics, but always sprinkled with stardust, seem to say ""eyes to me"".Add a dash of magic to your coffee break with this enchanting set of porcelain cups. Each cup features a whimsical pattern—ranging from bold swirls to eye-catching geometric designs—finished with a hint of gold for a touch of luxury. Perfect for espresso or other small servings, these cups transform any moment into a mini celebration.*Material: Porcelain*Suitable for dishwasher use (up to 250 washes)*Not suitable for microwave*Dimensions: Cup Ø 6.5 H 6 cm - Plate Ø 12 cm*Available as a set of fourMade in Italy",https://joyandco.com/product/abracadabra-coffee-cups-set-xUdyr3,https://joyandco.com/storage/app/public/product/2025-03-03-67c6307a9c180.webp,https://joyandco.com/storage/app/public/product/2025-03-03-67c6316e0e3c0.webp,in stock,872.00 AED,BITOSSI,new,6049,abracadabra-coffee-cups-set-xUdyr3,
abracadabra-destino-dinner-plate-ZwL71a,Abracadabra Destino Dinner Plate,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, which has designed an entire set of dishes for Bitossi Home: an authentic tribute to magic. Multi-pointed stars, pinwheels and optical effects alternating with softer graphics, but always sprinkled with stardust, seem to say ""eyes to me"".Destino dinner plate is crafted from premium porcelain and features vibrant colored decals complemented by refined gold accents. This stylish plate brings a touch of luxury to any meal or special occasion, making it ideal for those who value exceptional craftsmanship and wish to impress their guests with an elegant table setting.*Material: Porcelain*Suitable for dishwasher use (up to 250 washes)*Not suitable for microwave*Dimensions: 26.5 cmMade in Italy",https://joyandco.com/product/abracadabra-destino-dinner-plate-ZwL71a,https://joyandco.com/storage/app/public/product/2025-02-19-67b5a826f01ca.webp,https://joyandco.com/storage/app/public/product/2025-02-19-67b5a973bd107.webp,in stock,223.00 AED,BITOSSI,new,3553,abracadabra-destino-dinner-plate-ZwL71a,
abracadabra-incanto-deep-plate-f6f3Fa,Abracadabra Incanto Deep Plate,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, which has designed an entire set of dishes for Bitossi Home: an authentic tribute to magic. Multi-pointed stars, pinwheels and optical effects alternating with softer graphics, but always sprinkled with stardust, seem to say ""eyes to me"".Incanto deep plate is crafted from premium porcelain and features vibrant colored decals complemented by refined gold accents. This stylish plate brings a touch of luxury to any meal or special occasion, making it ideal for those who value exceptional craftsmanship and wish to impress their guests with an elegant table setting.*Material: Porcelain*Suitable for dishwasher use (up to 250 washes)*Not suitable for microwave*Dimensions: 23cmMade in Italy",https://joyandco.com/product/abracadabra-incanto-deep-plate-f6f3Fa,https://joyandco.com/storage/app/public/product/2025-02-19-67b5e381e06f2.webp,,in stock,210.00 AED,BITOSSI,new,3553,abracadabra-incanto-deep-plate-f6f3Fa,
abracadabra-round-serving-plate-okCZ5Q,Abracadabra Round Serving Plate,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, which has designed an entire set of dishes for Bitossi Home: an authentic tribute to magic. Multi-pointed stars, pinwheels and optical effects alternating with softer graphics, but always sprinkled with stardust, seem to say ""eyes to me"".This Round Serving plate is crafted from premium porcelain and features vibrant colored decals complemented by refined gold accents. This stylish plate brings a touch of luxury to any meal or special occasion, making it ideal for those who value exceptional craftsmanship and wish to impress their guests with an elegant table setting.*Material: Porcelain*Suitable for dishwasher use (up to 250 washes)*Not suitable for microwave*Dimensions: 32.5 cmMade in Italy",https://joyandco.com/product/abracadabra-round-serving-plate-okCZ5Q,https://joyandco.com/storage/app/public/product/2025-02-19-67b5e179e51fa.webp,https://joyandco.com/storage/app/public/product/2025-05-26-68339af322e57.webp,in stock,420.00 AED,BITOSSI,new,3553,abracadabra-round-serving-plate-okCZ5Q,
abracadabra-striped-dessert-plate-WWoXWn,Abracadabra Striped Dessert Plate,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, which has designed an entire set of dishes for Bitossi Home: an authentic tribute to magic. Multi-pointed stars, pinwheels and optical effects alternating with softer graphics, but always sprinkled with stardust, seem to say ""eyes to me"".Righe dessert striped plate is crafted from premium porcelain and features vibrant colored decals complemented by refined gold accents. This stylish plate brings a touch of luxury to any dessert or special occasion, making it ideal for those who value exceptional craftsmanship and wish to impress their guests with an elegant table setting.*Material: Porcelain*Suitable for dishwasher use (up to 250 washes)*Not suitable for microwave*Dimensions: 20.5 cmMade in Italy",https://joyandco.com/product/abracadabra-striped-dessert-plate-WWoXWn,https://joyandco.com/storage/app/public/product/2025-02-19-67b5b343128f3.webp,https://joyandco.com/storage/app/public/product/2025-05-26-68339d62865c5.webp,in stock,179.00 AED,BITOSSI,new,3553,abracadabra-striped-dessert-plate-WWoXWn,
alchimia-bubble-vase-w5jb0F,Alchimia Bubble Vase,"More than a vase, this piece resembles a small glass sculpture with an original, contemporary design. Part of the Alchimia collection, it pays retro tribute to old distillation flasks, reimagined in playful colors and soft, rounded forms.Designed to bring personality and light to any room, it stands beautifully on its own or with a single delicate stem. A true statement piece that adds character, charm, and a touch of artistic whimsy to your space.Dimensions: 11x11x22 cmMaterial: Borosilicate glass",https://joyandco.com/product/alchimia-bubble-vase-w5jb0F,https://joyandco.com/storage/app/public/product/2025-11-24-69244f20c4984.webp,https://joyandco.com/storage/app/public/product/2025-11-24-69244f21a4698.webp,in stock,312.00 AED,RITUALI DOMESTICI,new,602,alchimia-bubble-vase-w5jb0F,
alchimia-trio-vase-Flfg0M,Alchimia Trio Vase,"More than a vase, this piece resembles a small glass sculpture with an original, contemporary design. Part of the Alchimia collection, it pays retro tribute to old distillation flasks, reimagined in playful colors and soft, rounded forms.Designed to bring personality and light to any room, it stands beautifully on its own or with a single delicate stem. A true statement piece that adds character, charm, and a touch of artistic whimsy to your space.Dimensions: 10,5x10,5x26,5 cmMaterial: Borosilicate glass",https://joyandco.com/product/alchimia-trio-vase-Flfg0M,https://joyandco.com/storage/app/public/product/2025-11-24-69244e742832f.webp,https://joyandco.com/storage/app/public/product/2025-11-24-69244e7466ae1.webp,in stock,321.00 AED,RITUALI DOMESTICI,new,602,alchimia-trio-vase-Flfg0M,
allacorte-blush-vase-s-YVeTzE,Allacorte Blush Vase S,"The Allacorte vase enchant with its transparency and lightness, celebrating the beauty of borosilicate glass. This delicately tinted pink vase, accented with two sculptural white glass handles, creates a world of clarity, color, and soft reflections.Elegant on its own and striking with fresh blooms, it adds a gentle glow to any space. A contemporary statement that feels airy, refined, and effortlessly decorative.Dimensions: 17,5x14,5x19 cmMaterial: Borosilicate glass",https://joyandco.com/product/allacorte-blush-vase-s-YVeTzE,https://joyandco.com/storage/app/public/product/2025-11-24-692451fedde1e.webp,https://joyandco.com/storage/app/public/product/2025-11-24-692451ffc9326.webp,in stock,348.00 AED,RITUALI DOMESTICI,new,602,allacorte-blush-vase-s-YVeTzE,
allacorte-yellow-vase-m-IIADKD,Allacorte Yellow Vase M,"The Allacorte vase enchant with its transparency and lightness, celebrating the beauty of borosilicate glass. This delicately tinted yellow vase, accented with two sculptural blue glass handles, creates a world of clarity, color, and soft reflections.Elegant on its own and striking with fresh blooms, it adds a gentle glow to any space. A contemporary statement that feels airy, refined, and effortlessly decorative.Dimensions: 19,5x17,5x24,5 cmMaterial: Borosilicate glass",https://joyandco.com/product/allacorte-yellow-vase-m-IIADKD,https://joyandco.com/storage/app/public/product/2025-11-24-69245158b7d3a.webp,https://joyandco.com/storage/app/public/product/2025-11-24-6924515994d2a.webp,in stock,393.00 AED,RITUALI DOMESTICI,new,602,allacorte-yellow-vase-m-IIADKD,
amanda-vase-m-9hC5Ya,Amanda Vase M,"A blown-glass vase distinguished by its richly marbled amber finish. It is ideal for medium-sized floral arrangements or as a striking standalone décor piece.The intricate glass patterning creates depth and movement, while the softly ruffled rim adds a sculptural, artisanal touch. Perfect for both classic and contemporary interiors, this vase blends craftsmanship, beauty, and versatility — a refined statement designed to elevate any space.Dimensions: 17,5×12×26cmMaterial: Glass",https://joyandco.com/product/amanda-vase-m-9hC5Ya,https://joyandco.com/storage/app/public/product/2025-11-24-692488b6e3cfb.webp,https://joyandco.com/storage/app/public/product/2025-11-24-692488b6f4161.webp,in stock,565.00 AED,RITUALI DOMESTICI,new,602,amanda-vase-m-9hC5Ya,
