id,title,description_preview,brand,original_category,original_category_name,new_category,new_category_name,confidence,score,matched_keyword,match_source,changed,priority
abracadabra-coffee-cups-set-xUdyr3,Abracadabra Coffee Cups Set,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, wh...",BITOSSI,6049,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,6049,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,HIGH,106.7,coffee cups,Keyword Match (title),NO,LOW
abracadabra-destino-dinner-plate-ZwL71a,Abracadabra Destino Dinner Plate,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, wh...",BITOSSI,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,118.9,dinner plate,Keyword Match (title),NO,LOW
abracadabra-incanto-deep-plate-f6f3Fa,Abracadabra Incanto Deep Plate,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, wh...",BITOSSI,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,HIGH,114.5,deep plate,Keyword Match (title),YES,LOW
abracadabra-round-serving-plate-okCZ5Q,Abracadabra Round Serving Plate,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, wh...",BITOSSI,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,118.35,serving plate,Keyword Match (title),NO,LOW
abracadabra-striped-dessert-plate-WWoXWn,Abracadabra Striped Dessert Plate,"Wonder expressed in images. Abracadabra is brought to the table by the graphic design studio La Tigre, directed by Luisa Milani and Walter Molteni, wh...",BITOSSI,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,116.1,dessert plate,Keyword Match (title),NO,LOW
apple-squared-trinket-tray-eHcdjZ,Apple Squared Trinket Tray,"Il Frutto della Passione is a collaboration between Bitossi Home and Pangea, a creative fusion of art, fashion, and performance debuting at Milan Desi...",BITOSSI,6456,Home & Garden > Decor > Decorative Trays,6456,Home & Garden > Decor > Decorative Trays,HIGH,107.65,trinket tray,Keyword Match (title),NO,LOW
aquamarine-hobnail-jug-tall-KMO9Fr,Aquamarine Hobnail Jug Tall,Bring the warmth and glow to the dining table with this tall Aquamarine pitcher.Premium features such as the slender curved handle give you a comforta...,KLIMCHI,3330,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Pitchers & Carafes,3330,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Pitchers & Carafes,HIGH,81.225,jug,Keyword Match (title),NO,LOW
aquamarine-hobnail-tumblers-set-of-6-LbUM2N,Set of 6 Aquamarine Hobnail Tumblers,"With the lively shade of blue and green, KLIMCHI Aquamarine Tumblers are perfect for serving fresh drinks at your garden party or family reunion. The ...",KLIMCHI,2951,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Tumblers,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,93.6,set,Keyword Match (title),YES,LOW
aurora-vase-QtwQO7,Aurora Vase,"This iridescent porcelain vase offers a luxurious appearance with striking color reflections, making it a bold statement piece for any space. Perfect ...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,83.925,vase,Keyword Match (title),NO,LOW
azure-tower-vase-usiPgp,Azure Tower Vase,"A striking stoneware vase in bold blue, designed with a sculptural silhouette that adds height and style to any setting. Whether displayed alone or wi...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,83.3,vase,Keyword Match (title),NO,LOW
birdy-bowl-BJBWFJ,Birdy Bowl,"The sophisticated Birdy Bowl in gold adds an elegant touch to any space. Crafted from ceramic, its unique design features an intricate ring of bird fi...",WERNS,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,HIGH,86.05,bowl,Keyword Match (title),NO,LOW
birdy-vase-1ivN0A,Birdy Vase,"This stunning Birdy Vase features a detailed design of golden birds perched around the vase, creating a luxurious and eye-catching decorative piece. C...",WERNS,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,94.2,decorative piece,Keyword Match (description),NO,LOW
bisou-photo-frame-I8aWvJ,Bisou Photo Frame,"This polyresin photo frame features a vibrant stripe pattern in multiple colors, adding a playful and lively touch to any space. Perfect for showcasin...",KERSTEN,4295,Category 4295,3367,Home & Garden > Decor > Picture Frames,HIGH,110.45,photo frame,Keyword Match (title),YES,LOW
black-vase-l-bnkl7X,Black Vase L,"The Black Large Vase features a contemporary design with a bold, rounded shape in deep black integrally colored glass. Its sleek and modern silhouette...",WERNS,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,84.05,vase,Keyword Match (title),NO,LOW
black-vase-m-J1WakU,Black Vase M,"The Black Medium Vase features a contemporary design with a bold, rounded shape in deep black integrally colored glass. Its sleek and modern silhouett...",WERNS,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,84.05,vase,Keyword Match (title),NO,LOW
bliss-cocktail-glass-set-of-2-wVoWvZ,Set of 2 Bliss Cocktail Glass,The Bliss Cocktail Glass Set is the perfect addition to add some playful colour to your glass collection. The glass has a wide design with a beautiful...,ANNA + NINA,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,HIGH,111.925,cocktail glass,Keyword Match (title),NO,LOW
blue-chinoiserie-dinner-plate-classics-on-acid-PVgGP5,Blue Chinoiserie Dinner Plate - Classics on Acid,A classic look with a bold twist for party lovers and eclectic enthusiasts. Seletti x Diesel Living collection revisits well-known classical porcelain...,SELETTI,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,115.275,dinner plate,Keyword Match (title),NO,LOW
blue-glass-vase-KAAcTq,Blue Glass Vase,A blue glass vase that adds a vibrant color punch to your space.*Material: Glass*Dimensions: 8.8x8.8x22cm,KERSTEN,602,Home & Garden > Decor > Vases,674,Home & Garden > Kitchen & Dining > Tableware > Drinkware,HIGH,85.375,glass,Keyword Match (title),YES,LOW
blue-scalloped-dinner-plate-S6VT1h,Blue Scalloped Dinner Plate,The Blue Scalloped Dinner Plate has a dazzling design that effortlessly illuminates your table setting. The hand-painted celestial blue stripes around...,ANNA + NINA,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,113.525,dinner plate,Keyword Match (title),NO,LOW
blue-vase-4UH9rD,Blue Vase,"The Blue Vase features a hand-painted geometric silhouette. Its bold blue exterior is beautifully contrasted by a soft light purple interior, making i...",WERNS,602,Home & Garden > Decor > Vases,594,Home & Garden > Lighting > Lamps,HIGH,90.0,soft light,Keyword Match (description),YES,LOW
blush-wave-vase-VgygWF,Blush Wave Vase,This pink dolomite vase with bold red wavy handles is perfect for an elegant and stylish flower presentation. A statement piece that adds a playful ye...,KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,83.425,vase,Keyword Match (title),NO,LOW
boho-planter-o3q5RN,Boho planter,"Add a bold touch to your space with this uniquely designed stoneware planter. Featuring earthy tones with a vibrant red, it’s perfect for showcasing y...",KERSTEN,721,Category 721,3553,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,HIGH,62.8,stoneware,Keyword Match (description),YES,LOW
bold-stripes-vase-IErdVl,Bold Stripes Vase,"This bold stoneware vase features a geometric, multi-layered design with vibrant stripes and contrasting colors, making it a perfect decorative piece ...",KERSTEN,602,Home & Garden > Decor > Vases,602,Home & Garden > Decor > Vases,HIGH,94.2,decorative piece,Keyword Match (description),NO,LOW
bowl-lisa-bone-gloss-BSKFl3,Bowl 'Lisa' Bone Gloss,"Glossy, plump, and full of personality, the Lisa bowl is an eye-catching addition to your table or shelf. With its inflated rim and pretty white bone ...",HOME STUDYO,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,HIGH,88.8,bowl,Keyword Match (title),NO,LOW
bowl-lisa-bubblegum-gloss-TyMgca,Bowl 'Lisa' Bubblegum Gloss,"Glossy, plump, and full of personality, the Lisa bowl is an eye-catching addition to your table or shelf. With its inflated rim and fresh pink bubbleg...",HOME STUDYO,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,HIGH,88.8,bowl,Keyword Match (title),NO,LOW
bowl-lisa-coral-gloss-QuUwOW,Bowl 'Lisa' Coral Gloss,"Glossy, plump, and full of personality, the Lisa bowl is an eye-catching addition to your table or shelf. With its inflated rim and vibrant coral glaz...",HOME STUDYO,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,3498,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,HIGH,88.8,bowl,Keyword Match (title),NO,LOW
