id,title,description,link,image_link,availability,price,brand,condition,category
azure-tower-vase-usiPgp,Azure Tower Vase,"A striking stoneware vase in bold blue, designed with a sculptural silhouette that adds height and style to any setting. Whether displayed alone or with tall stems, it makes a sleek statement on any console or table.Material: StonewareDimensions: 9.2x9.2x34.3 cmCare: Wipe clean",https://joyandco.com/product/azure-tower-vase-usiPgp,https://joyandco.com/storage/app/public/product/2025-05-11-68206bfe624fb.webp,in stock,155.00 AED,KERSTEN,new,Products
butterfly-garden-vase-l-lqNFj1,Butterfly Garden Vase L,"A vibrant celebration of color and nature, this large stoneware vase is adorned with sculpted butterflies in playful hues. Its bold design and generous size make it the perfect centerpiece for striking floral arrangements or as a standalone decorative piece.Material: StonewareDimensions: 24.5 x 24.5 x 34 cm",https://joyandco.com/product/butterfly-garden-vase-l-lqNFj1,https://joyandco.com/storage/app/public/product/2025-05-16-68271d791f8bf.webp,in stock,660.00 AED,KERSTEN,new,Products
butterfly-garden-vase-m-R11BOa,Butterfly Garden Vase M,"A vibrant celebration of color and nature, this medium-size stoneware vase is adorned with sculpted butterflies in playful hues. Its bold design and generous size make it the perfect centerpiece for striking floral arrangements or as a standalone decorative piece.Material: StonewareDimensions: 24.5 x 24.5 x 25 cm",https://joyandco.com/product/butterfly-garden-vase-m-R11BOa,https://joyandco.com/storage/app/public/product/2025-05-16-68271cd14472b.webp,in stock,440.00 AED,KERSTEN,new,Products
candle-dip-dye-yellow-tJ1CSM,Candle Dip Dye yellow,"These dip-dye taper candles feature a soft gradient design, adding a modern yet elegant touch to any table setting. Perfect for special occasions or everyday ambiance.*Material: Wax*Dimensions: 9.2x2.2x30.5cm*Set includes 4 taper candles",https://joyandco.com/product/candle-dip-dye-yellow-tJ1CSM,https://joyandco.com/storage/app/public/product/2025-05-12-6821fdf75a129.webp,in stock,45.00 AED,KERSTEN,new,Products
cello-suite-n29-montecarlo-night-700ml-LJv3uf,Cello suite n.29 Montecarlo Night 700ML,"In this sun-kissed fragrance, hints of bergamot and mandarin mix, all enhanced by the opulent and velvety heart notes of jasmine and orange blossom, ending in base notes with the enveloping scent of rare and precious musky aromas.Warm and sensual fragrance with a seductive embrace.Very suitable in the living area and in environments where you want to create an atmosphere of relaxation and good humor.Floral top and heart notes that end in a background of subtle musky aromas.Top : mandarin bergamotHeart : jasmine, rose, orange blossom, patchouliBase : white musk700MLPresented in an EDION box. Comes in an exclusive bottle designed for JOY&CO, in smoked olive green with gold leaf.Silk Black Sticks included.Made in Italy.",https://joyandco.com/product/cello-suite-n29-montecarlo-night-700ml-LJv3uf,https://joyandco.com/storage/app/public/product/2025-03-03-67c620c152bc2.webp,in stock,775.00 AED,EDION,new,Products
chrome-kiss-planter-nTDrA9,Chrome Kiss Planter,"Bring a bold, modern twist to your décor with the Chrome Kiss Planter in metallic silver. Sculpted from fine earthenware, its striking shape and glossy finish make it a true statement piece.Material: Fine EarthenwareDimensions: 42x18.5x18.5 cm",https://joyandco.com/product/chrome-kiss-planter-nTDrA9,https://joyandco.com/storage/app/public/product/2025-05-12-6821d787b5ad6.webp,in stock,375.00 AED,KERSTEN,new,Products
crystal-hobnail-jug-with-gold-handle-U5RN5L,Crystal Hobnail Jug with Gold Handle,"Prepare to liven up any casual indoor or outdoor gathering with this all-purpose handmade hobnail crystal glass jug. A modern approach towards the Bohemian glass tradition combined with the elegance of the crystal glass, your crystal hobnail jug will make your interior shine.Premium features such as a tapered handle give you a comfortable hold on the jug while the ice lip restrains wayward ice cubes.The gold handle is a special feature of the jug and has been hand golded in 24K gold.Material: Bohemian CrystalVolume: 2000ml (2L)Dimensions: 20x22 cmWeight: 2 kgNot suitable for dishwasherNot suitable for microwaveMade in Czech Republic.",https://joyandco.com/product/crystal-hobnail-jug-with-gold-handle-U5RN5L,https://joyandco.com/storage/app/public/product/2025-02-26-67bf3b3d5770c.webp,in stock,750.00 AED,KLIMCHI,new,Products
firelight-duo-vase-b58wuT,Firelight Duo Vase,"Turn up the drama with the Firelight Duo Vase, a bold statement in two rich tones of red glass. Its smooth curves and layered color create a striking silhouette that brings warmth and depth to any setting. Whether styled with florals or standing alone, it’s the perfect accent for a dynamic, modern look.Material: GlassDimensions: 19 x 19 x 30 cm",https://joyandco.com/product/firelight-duo-vase-b58wuT,https://joyandco.com/storage/app/public/product/2025-05-16-682720f5ed3cb.webp,in stock,285.00 AED,KERSTEN,new,Products
flower-girl-candleholde-pink-Hv3IdF,Flower Girl Candleholder Pink,"Dressed in rosy pink and crowned with a warm orange flower, this playful candle holder adds charm and color to any setting. A whimsical piece to mix and match across seasons.Material: StonewareDimensions: 7x7x18 cmFits standard taper candles",https://joyandco.com/product/flower-girl-candleholde-pink-Hv3IdF,https://joyandco.com/storage/app/public/product/2025-05-12-6821e2a1af099.webp,in stock,83.00 AED,KERSTEN,new,Products
flower-girl-candleholder-lilac-l77Ql5,Flower Girl Candleholder Lilac,"This soft lilac flower girl, topped with a cheerful yellow bloom, lends a gentle, fairy-tale vibe to your display. A subtle statement piece for playful styling.Material: StonewareDimensions: 7x7x18 cmFits standard taper candles",https://joyandco.com/product/flower-girl-candleholder-lilac-l77Ql5,https://joyandco.com/storage/app/public/product/2025-05-12-6821f5ae45d49.webp,in stock,83.00 AED,KERSTEN,new,Products
